uid,gender,race
ac23ab17a31d1abeea72e408ac5871c1,F,asian
3528757eaf1d15ee6c778eb79cd02de7,M,white
0b9c2303bcc61063f9a5653d77c90501,M,white
a7a320d21e232075512a494c982dc17f,M,black
374d8bd8b755b55ed5a9b08304db6cee,F,more than one
bbcad50219ee8a1484b4c6f000eb4e68,F,white
58863d024fc04ff1c3082e2c81e14cf2,F,white
c21d2515be8477a92181b9c0035a9884,F,white
4b5eb55e64b6bc941796bf114149cab7,F,white
a7cb6ba9ef6b3878a4284b0d63afecd7,F,asian
0f2be96bde481cd3898f147a995a7d56,M,asian
2d06da49889845dc3af964bafb630b0a,F,asian
bd6de07de02a8c2e98018a1c7daecc87,F,other/hispanic
62caae288910745b5eb9dde5a9873179,F,white
59cf760cd019690c9007452187578915,F,asian
4a8ac645226348425b0a43a8373e394d,F,more than one
557b44c8daf2ddb5d02313f20f2505b9,M,asian
50e32d5c464c892af7aa4b6a666e876d,F,white
12f90c19f2c2b74ec542b62e74e7cad1,F,white
0f727c1018c74fbb7142e8c7a77840d6,M,white
429cf5f822600da91a6f4227c0af86c6,M,white
d038cb570b5de5840c0677e72d2ba198,F,asian
f066d6d9013a60a4b65eda0f2518f61a,F,white
1d0fa4dfa0545bedeaa6045c70b6d19c,F,white
54446e36f4601e2c4ab70c355baccc32,M,white
169d3212668c4eed434dafd32e33c946,F,american indian/alaska native
5e8e425fb65143d25c73b88bd26638eb,F,white
97487f1632fbab90426f6760a0fe94ea,F,more than one
7d41e1ac6994aa87a10a923b31b16cd8,F,black
0ba15aa0582c5e825710d42fe3eb231d,F,white
5c446b55e04c641913c09fd39d01d32b,F,white
b17eeda399b312140dc40b8445a8e0a5,M,asian
84875d7ec9c81d58d687aa4805c35c77,F,asian
03a0ce5623bfeb8aa3113605f7682215,F,more than one
fe8ddda4ae8c71f7054ca024b82f5c98,F,white
f5529fbae87a8d170937d3e39d5a63cc,F,white
a52b5e80b4c7a8e05f8cc0a16ae4ea9f,F,black
6b0083d00297f9c03e00b2cde889b666,M,asian
2c4f43b2212eee5ba69563f139911138,M,white
